1,9415007008286,BONEETO 350 1+ MADU,034,PCS,99999,36250,38000,38000,38000
2,8993189270574,CHARM MAXIWING 4PADS,022,PCS,99999,2600,3000,3000,3000
3,8992753182206,BENDERA UHT 190 COKLAT,014,PCS,99999,3406,4000,4000,4000
4,8992753152209,BENDERA COKLAT 200GR,033,PCS,99999,15545,16000,16000,16000
5,8992753152308,BENDERA COKLAT 400GR,033,PCS,99999,36873,38000,38000,38000
6,8992753172207,BENDERA BTL 190 COKLAT,012,PCS,99999,3182,3500,3500,3500
7,8992753120208,BENDERA FC 200 GR,033,PCS,99999,16752,17500,17500,17500
8,8992753120307,BENDERA FC 400 GR,033,PCS,99999,42172,43500,43500,43500
9,8992753170203,BENDERA FC BOTOL 200 ML,012,PCS,99999,2300,3000,3000,3000
10,8992753150205,BENDERA INSTAN 200GR,033,PCS,99999,16754,17500,17500,17500
11,8992753150304,BENDERA INSTAN 400GR,033,PCS,99999,37100,38500,38500,38500
12,8992753153206,BENDERA MADU 200 GR,033,PCS,99999,13220,14000,14000,14000
13,8992753153305,BENDERA MADU 400 GR,033,PCS,99999,34931,36000,36000,36000
14,8992753184200,BENDERA UHT 190 STRAWBERY,014,PCS,99999,3406,4000,4000,4000
15,8992753174201,BENDERA BTL 190 STRAWBERY,012,PCS,99999,3054,3500,3500,3500
16,9415007014454,BONEETO UHT 200 CHOCOBERY,014,PCS,99999,3500,4000,4000,4000
17,9415007014416,BONEETO UHT 200 COKLAT,014,PCS,99999,3625,4000,4000,4000
18,9415007014430,BONEETO UHT 200 VANILA,014,PCS,99999,3500,4000,4000,4000
19,8998009011047,SAPI SKM KRIMER 375 GR,005,PCS,99999,7288,8000,8000,8000
20,8992753631209,OMELA KENTAL MANIS,005,PCS,99999,6700,6700,6700,6700
21,8992802120067,CHIL SCHOOL 200 VANILA,033,PCS,99999,30203,31500,31500,31500
22,8992802120029,CHIL KID 200 MADU,033,PCS,99999,32340,33500,33500,33500
23,8992802120036,CHIL KID 200 VANILA,033,PCS,99999,32340,33500,33500,33500
24,8992802120012,CHIL MIL 200 GR,033,PCS,99999,38924,40000,40000,40000
25,8992802120050,CHIL SCHOOL 200 STRAWBERY,033,PCS,99999,30203,31500,31500,31500
26,8992696407596,DANCOW 3+COKLAT 400 GR,033,PCS,99999,43396,44700,44700,44700
27,8992696407619,DANCOW 3+COKLAT 800 GR,033,PCS,99999,84623,87500,87500,87500
28,8992696407015,DANCOW 3+MADU 200 GR,033,PCS,99999,21132,21800,21800,21800
29,8992696407039,DANCOW 3+MADU 400 GR,033,PCS,99999,43396,44700,44700,44700
30,8992696415010,DANCOW 1+COKLAT 400 GR,033,PCS,99999,44717,46300,46300,46300
31,8992696407671,DANCOW 1+VANILA 400 GR,033,PCS,99999,44717,46300,46300,46300
32,8992696407695,DANCOW 3+VANILA 400 GR,033,PCS,99999,43396,44700,44700,44700
33,8992696405585,DANCOW 1+MADU 800 GR,033,PCS,99999,85849,88500,88500,88500
34,8992696405233,DANCOW COKLAT FORTIGO 200,033,PCS,99999,18491,19000,19000,19000
35,8992696405257,DANCOW COKLAT FORTIGO 800,033,PCS,99999,70660,73500,73500,73500
36,8992696407831,DANCOW 5+COKLAT 800 GR,033,PCS,99999,82924,85000,85000,85000
37,8992696405479,DANCOW FULLCREAM 200GR,033,PCS,99999,20661,21500,21500,21500
38,8992696405486,DANCOW FULLCREAM 400GR,033,PCS,99999,40849,42500,42500,42500
39,8992696405493,DANCOW FULLCREAM 800GR,033,PCS,99999,77358,80000,80000,80000
40,8992696405424,DANCOW INSTANT 200GR,033,PCS,99999,19717,20500,20500,20500
41,8992696405431,DANCOW INSTANT 400GR,033,PCS,99999,40094,41500,41500,41500
42,8992696405448,DANCOW INSTANT 800GR,033,PCS,99999,75473,78000,78000,78000
43,8998899004297,AUTAN LOT TUBE JUNIOR 50M,136,PCS,99999,7981,9000,9000,9000
